,target
30162,<=50K.
30163,<=50K.
30164,>50K.
30165,>50K.
30166,<=50K.
30167,>50K.
30168,<=50K.
30169,<=50K.
30170,>50K.
30171,<=50K.
30172,<=50K.
30173,>50K.
30174,>50K.
30175,<=50K.
30176,<=50K.
30177,<=50K.
30178,>50K.
30179,<=50K.
30180,<=50K.
30181,<=50K.
30182,>50K.
30183,<=50K.
30184,<=50K.
30185,<=50K.
30186,<=50K.
30187,>50K.
30188,<=50K.
30189,<=50K.
30190,<=50K.
30191,<=50K.
30192,>50K.
30193,<=50K.
30194,<=50K.
30195,<=50K.
30196,>50K.
30197,>50K.
30198,<=50K.
30199,<=50K.
30200,<=50K.
30201,>50K.
30202,<=50K.
30203,<=50K.
30204,<=50K.
30205,<=50K.
30206,<=50K.
30207,<=50K.
30208,<=50K.
30209,>50K.
30210,<=50K.
30211,<=50K.
30212,<=50K.
30213,>50K.
30214,>50K.
30215,<=50K.
30216,<=50K.
30217,<=50K.
30218,<=50K.
30219,<=50K.
30220,<=50K.
30221,>50K.
30222,<=50K.
30223,<=50K.
30224,<=50K.
30225,>50K.
30226,<=50K.
30227,<=50K.
30228,<=50K.
30229,<=50K.
30230,<=50K.
30231,<=50K.
30232,<=50K.
30233,<=50K.
30234,<=50K.
30235,<=50K.
30236,<=50K.
30237,<=50K.
30238,<=50K.
30239,<=50K.
30240,>50K.
30241,<=50K.
30242,<=50K.
30243,<=50K.
30244,>50K.
30245,<=50K.
30246,<=50K.
30247,<=50K.
30248,<=50K.
30249,<=50K.
30250,>50K.
30251,<=50K.
30252,<=50K.
30253,<=50K.
30254,<=50K.
30255,<=50K.
30256,<=50K.
30257,<=50K.
30258,<=50K.
30259,<=50K.
30260,<=50K.
30261,<=50K.
30262,<=50K.
30263,>50K.
30264,<=50K.
30265,<=50K.
30266,<=50K.
30267,<=50K.
30268,<=50K.
30269,>50K.
30270,<=50K.
30271,<=50K.
30272,<=50K.
30273,<=50K.
30274,<=50K.
30275,<=50K.
30276,>50K.
30277,<=50K.
30278,>50K.
30279,>50K.
30280,<=50K.
30281,<=50K.
30282,>50K.
30283,<=50K.
30284,<=50K.
30285,>50K.
30286,<=50K.
30287,<=50K.
30288,<=50K.
30289,<=50K.
30290,<=50K.
30291,>50K.
30292,>50K.
30293,<=50K.
30294,<=50K.
30295,<=50K.
30296,>50K.
30297,>50K.
30298,<=50K.
30299,<=50K.
30300,<=50K.
30301,<=50K.
30302,<=50K.
30303,>50K.
30304,<=50K.
30305,<=50K.
30306,<=50K.
30307,<=50K.
30308,<=50K.
30309,<=50K.
30310,<=50K.
30311,<=50K.
30312,<=50K.
30313,>50K.
30314,>50K.
30315,>50K.
30316,<=50K.
30317,<=50K.
30318,<=50K.
30319,>50K.
30320,<=50K.
30321,<=50K.
30322,<=50K.
30323,<=50K.
30324,>50K.
30325,<=50K.
30326,<=50K.
30327,>50K.
30328,>50K.
30329,<=50K.
30330,>50K.
30331,<=50K.
30332,<=50K.
30333,<=50K.
30334,<=50K.
30335,<=50K.
30336,>50K.
30337,>50K.
30338,<=50K.
30339,<=50K.
30340,<=50K.
30341,<=50K.
30342,>50K.
30343,<=50K.
30344,>50K.
30345,>50K.
30346,<=50K.
30347,<=50K.
30348,<=50K.
30349,>50K.
30350,<=50K.
30351,<=50K.
30352,<=50K.
30353,>50K.
30354,>50K.
30355,<=50K.
30356,<=50K.
30357,<=50K.
30358,<=50K.
30359,<=50K.
30360,<=50K.
30361,<=50K.
30362,<=50K.
30363,<=50K.
30364,<=50K.
30365,<=50K.
30366,<=50K.
30367,<=50K.
30368,>50K.
30369,>50K.
30370,<=50K.
30371,>50K.
30372,<=50K.
30373,<=50K.
30374,<=50K.
30375,<=50K.
30376,>50K.
30377,<=50K.
30378,<=50K.
30379,<=50K.
30380,<=50K.
30381,<=50K.
30382,<=50K.
30383,<=50K.
30384,<=50K.
30385,<=50K.
30386,<=50K.
30387,<=50K.
30388,<=50K.
30389,<=50K.
30390,>50K.
30391,<=50K.
30392,<=50K.
30393,<=50K.
30394,>50K.
30395,<=50K.
30396,<=50K.
30397,<=50K.
30398,<=50K.
30399,<=50K.
30400,<=50K.
30401,<=50K.
30402,<=50K.
30403,<=50K.
30404,<=50K.
30405,<=50K.
30406,>50K.
30407,<=50K.
30408,<=50K.
30409,<=50K.
30410,>50K.
30411,>50K.
30412,<=50K.
30413,<=50K.
30414,<=50K.
30415,<=50K.
30416,>50K.
30417,<=50K.
30418,>50K.
30419,>50K.
30420,<=50K.
30421,<=50K.
30422,<=50K.
30423,<=50K.
30424,<=50K.
30425,>50K.
30426,<=50K.
30427,<=50K.
30428,>50K.
30429,<=50K.
30430,<=50K.
30431,<=50K.
30432,<=50K.
30433,<=50K.
30434,>50K.
30435,<=50K.
30436,>50K.
30437,<=50K.
30438,>50K.
30439,<=50K.
30440,<=50K.
30441,<=50K.
30442,<=50K.
30443,<=50K.
30444,<=50K.
30445,>50K.
30446,<=50K.
30447,>50K.
30448,<=50K.
30449,<=50K.
30450,>50K.
30451,<=50K.
30452,>50K.
30453,<=50K.
30454,>50K.
30455,>50K.
30456,<=50K.
30457,<=50K.
30458,<=50K.
30459,<=50K.
30460,<=50K.
30461,<=50K.
30462,<=50K.
30463,<=50K.
30464,>50K.
30465,<=50K.
30466,>50K.
30467,<=50K.
30468,>50K.
30469,<=50K.
30470,<=50K.
30471,<=50K.
30472,<=50K.
30473,<=50K.
30474,>50K.
